Date,High,Low,Open,Volume,Close
05-06-2024,349.4455381,343.4473035,349.4455381,6777888,344.3954163
06-06-2024,347.2204472,341.5124488,344.5115666,6424824,343.2345276
07-06-2024,346.5916427,343.1571686,344.7051006,3938224,343.8876038
08-06-2024,344.7437353,341.5124372,344.0520127,4298880,343.3457642
09-06-2024,349.0585983,343.2538544,343.3457581,4855040,348.3813782
10-06-2024,,344.61321,348.1879608,4198352,350.9742432
11-06-2024,352.1544314,348.2846024,350.4130083,5842128,350.6210022
12-06-2024,353.1219342,348.3910772,351.1870195,5569872,351.2402344
13-06-2024,351.5401848,346.465875,351.0903265,7599304,348.1686096
14-06-2024,350.1131183,346.8334474,349.2569327,3643152,348.2507629
15-06-2024,350.703227,343.9842416,348.284584,3583832,349.6148376
16-06-2024,362.448248,349.2521379,349.2521379,11857560,
17-06-2024,360.3778432,357.7512061,360.3778432,6238464,358.8057251
18-06-2024,367.1500874,358.4768412,361.0551058,6468352,360.9341736
19-06-2024,366.7146686,361.122761,361.122761,6517296,365.8584595
20-06-2024,363.3238185,359.8941865,362.6030674,4316800,361.4469604
21-06-2024,358.7331703,354.0893752,358.7331703,5080752,354.7956238
22-06-2024,357.9301821,351.2450662,355.4438215,5013032,356.4257813
23-06-2024,358.7332023,353.1219494,356.7982875,,355.0471802
24-06-2024,354.8633493,350.9258027,354.5731121,4958800,352.2802429
25-06-2024,357.0401289,350.5678488,352.7349438,5034904,
26-06-2024,362.6126651,355.1632442,356.0145877,7926120,
27-06-2024,360.8325566,353.5524402,355.438982,9104776,357.6689758
28-06-2024,366.4631072,356.1500275,357.862422,14755016,358.1575012
29-06-2024,356.2903278,351.3804822,356.0242771,8612040,353.1799622
30-06-2024,356.3581116,347.8541701,352.6382424,12962304,348.9715881
01-07-2024,355.274501,348.1153171,351.1869939,5564560,352.6188354
02-07-2024,,352.7350033,,24975512,357.088562
03-07-2024,359.9183011,354.1377437,356.5080141,8864840,356.0387878
04-07-2024,363.8558546,356.1307221,358.0559527,4996144,362.7045898
05-07-2024,363.4060077,,362.2353748,6927368,362.5788269
06-07-2024,373.4336629,360.0875946,360.0875946,9470864,372.2098389
07-07-2024,376.6262602,364.6636609,364.6636609,,370.6618958
08-07-2024,366.8598047,352.2511996,366.1825846,,353.1364136
09-07-2024,359.313656,350.7903474,357.9592157,12432832,352.8123474
10-07-2024,378.0823974,345.6435422,354.089451,45893056,376.2103577
11-07-2024,385.5317787,376.273216,376.273216,17726984,381.4249268
12-07-2024,383.5968481,377.3083752,383.5968481,,379.0788269
13-07-2024,379.0788269,379.0788269,379.0788269,0,379.0788269
14-07-2024,383.9534152,375.7689523,,10017392,376.8364868
15-07-2024,382.442289,374.0872148,376.797478,8190016,375.5057068
